# Time (ps)	MSD (nm^2)
887.000000	0.705277
888.000000	0.705661
889.000000	0.706833
890.000000	0.710549
891.000000	0.712373
892.000000	0.710043
893.000000	0.718026
894.000000	0.716938
895.000000	0.712799
896.000000	0.714595
897.000000	0.714093
898.000000	0.712183
899.000000	0.710061
900.000000	0.709348
901.000000	0.713109
902.000000	0.717027
903.000000	0.719850
904.000000	0.723322
905.000000	0.729018
906.000000	0.727558
907.000000	0.725604
908.000000	0.724725
909.000000	0.726551
910.000000	0.725202
911.000000	0.727891
912.000000	0.728484
913.000000	0.735883
914.000000	0.736290
915.000000	0.736095
916.000000	0.735719
917.000000	0.735953
918.000000	0.733211
919.000000	0.730130
920.000000	0.729787
921.000000	0.730703
922.000000	0.737016
923.000000	0.738507
924.000000	0.745453
925.000000	0.745731
926.000000	0.749728
927.000000	0.748291
928.000000	0.746071
929.000000	0.747051
930.000000	0.745090
931.000000	0.744184
932.000000	0.748765
933.000000	0.749347
934.000000	0.756655
935.000000	0.759498
936.000000	0.760228
937.000000	0.758039
938.000000	0.762773
939.000000	0.762779
940.000000	0.755927
941.000000	0.752630
942.000000	0.754041
943.000000	0.752595
944.000000	0.758298
945.000000	0.762283
946.000000	0.757513
947.000000	0.752497
948.000000	0.758679
949.000000	0.749385
950.000000	0.747699
951.000000	0.748961
952.000000	0.756259
953.000000	0.758687
954.000000	0.761056
955.000000	0.756452
956.000000	0.753800
957.000000	0.752710
958.000000	0.754222
959.000000	0.758231
960.000000	0.754645
961.000000	0.753874
962.000000	0.759257
963.000000	0.764601
964.000000	0.768310
965.000000	0.770934
966.000000	0.771107
967.000000	0.774559
968.000000	0.769242
969.000000	0.760456
970.000000	0.763510
971.000000	0.764216
972.000000	0.766512
973.000000	0.770204
974.000000	0.774913
975.000000	0.773985
976.000000	0.776450
977.000000	0.780381
978.000000	0.779430
979.000000	0.777422
980.000000	0.776167
981.000000	0.777179
982.000000	0.775658
983.000000	0.778198
984.000000	0.783183
985.000000	0.786718
986.000000	0.781293
987.000000	0.779223
988.000000	0.777406
989.000000	0.774548
990.000000	0.777258
991.000000	0.779879
992.000000	0.785153
993.000000	0.790700
994.000000	0.791926
995.000000	0.791676
996.000000	0.791985
997.000000	0.790956
998.000000	0.786372
999.000000	0.787887
